Timestamp,Tweets_per_second,EMA,Growth,Threshold
1402609401,10,9.586219575,0.07877809807,1.5
1402609402,11,9.843270561,0.08302351235,1.5
1402609403,11,10.053585,0.02589261319,1.5
1402609404,9,9.862024095,0.04111084638,1.5
1402609405,9,9.705292441,-0.04040471875,1.5
1402609406,10,9.758875634,0.003009942947,1.5
1402609407,9,9.620898246,-0.03410200053,1.5
1402609408,11,9.871644019,0.02785665222,1.5
1402609409,10,9.89498147,0.04220579044,1.5
1402609410,9,9.732257567,0.01523415886,1.5
1402609411,8,9.417301645,-0.04327514042,1.5
1402609412,8,9.159610437,-0.08892097367,1.5
1402609413,14,10.03968127,0.01801427074,1.5
1402609414,11,10.21428467,0.05244481141,1.5
1402609415,2,8.720778369,-0.1063746792,1.5
1402609416,15,9.862455029,0.02510750837,1.5
1402609417,11,10.06928139,0.02002071466,1.5
1402609418,13,10.60213932,0.07146631338,1.5
1402609419,11,10.67447762,0.09681413073,1.5
1402609420,7,10.00639078,0.06255392035,1.5
1402609421,12,10.36886519,0.1320203252,1.5
1402609422,11,10.48361697,0.04421810728,1.5
1402609423,13,10.94114116,0.07116078196,1.5
1402609424,5,9.860933674,0.130740085,1.5
1402609425,6,9.158945733,-0.07133206625,1.5
1402609426,15,10.2209556,0.01506306229,1.5
1402609427,7,9.635327309,-0.09119027574,1.5
1402609428,14,10.42890416,-0.02300566543,1.5
1402609429,12,10.71455795,0.07077148832,1.5
1402609430,6,9.857365596,-0.04933033465,1.5
1402609431,4,8.792390033,-0.1613209393,1.5
1402609432,11,9.193773663,-0.1597061466,1.5
1402609433,12,9.703996634,-0.01591502849,1.5
1402609434,7,9.212360882,0.005832019354,1.5
1402609435,10,9.355567994,-0.08466797425,1.5
1402609436,7,8.927282905,-0.07348420887,1.5
1402609437,12,9.48595874,-0.09041653919,1.5
1402609438,7,9.033966242,-0.1568512408,1.5
1402609439,14,9.936881471,0.008066645578,1.5
1402609440,13,10.49381211,0.1935107602,1.5
1402609441,9,10.22220991,0.1118622542,1.5
1402609442,9,9.999989926,0.0305022048,1.5
1402609443,5,9.090900849,-0.01318446322,1.5
1402609444,8,8.89255524,-0.04949060867,1.5
1402609445,8,8.730272469,-0.02206835356,1.5
1402609446,17,10.23385929,0.07884290595,1.5
1402609447,13,10.73679397,0.1884917078,1.5
1402609448,9,10.42101325,0.04872069536,1.5
1402609449,3,9.07173811,-0.1355154816,1.5
1402609450,6,8.513240272,-0.1671820138,1.5
1402609451,9,8.601742041,-0.1398249294,1.5
1402609452,9,8.674152579,-0.04584235128,1.5
1402609453,11,9.097033928,0.02299436804,1.5
1402609454,8,8.897573214,0.01916329019,1.5
1402609455,10,9.098014448,-0.1109889058,1.5
1402609456,14,9.989284548,-0.06962128743,1.5
1402609457,11,10.17305099,-0.02379444742,1.5
1402609458,10,10.14158718,0.1179320935,1.5
1402609459,12,10.47948042,0.2309626045,1.5
1402609460,6,9.665029432,0.1236130294,1.5
1402609461,10,9.725933172,0.1212545645,1.5
1402609462,9,9.593945323,0.05462345182,1.5
1402609463,6,8.940500718,0.004824630667,1.5
1402609464,8,8.769500588,-0.03610830273,1.5
1402609465,7,8.447773208,-0.1543164911,1.5
1402609466,9,8.548178079,-0.1597232645,1.5
1402609467,11,8.993963883,-0.1131601271,1.5
1402609468,9,8.995061359,-0.1416500627,1.5
1402609469,10,9.177777476,-0.05041391341,1.5
1402609470,10,9.32727248,-0.04098945417,1.5
1402609471,5,8.540495665,-0.1098035919,1.5
1402609472,12,9.169496454,0.0256133009,1.5
1402609473,10,9.320497098,0.06283100218,1.5
1402609474,13,9.989497626,0.1825006874,1.5
1402609475,10,9.991407148,0.1688346985,1.5
1402609476,16,11.08387858,0.2323685885,1.5
1402609477,11,11.06862793,0.2305227818,1.5
1402609478,7,10.32887739,0.1254225134,1.5
1402609479,8,9.90544514,0.06198732392,1.5
1402609480,7,9.377182388,0.09796699805,1.5
1402609481,8,9.12678559,-0.004657929022,1.5
1402609482,11,9.467370028,0.01575805756,1.5
1402609483,12,9.927848205,-0.006171423572,1.5
1402609484,10,9.940966713,-0.005048381546,1.5
1402609485,8,9.588063674,-0.134954104,1.5
1402609486,9,9.481143006,-0.1434220149,1.5
1402609487,9,9.39366246,-0.09054371531,1.5
1402609488,9,9.322087467,-0.05889262574,1.5
1402609489,8,9.081707928,-0.03150994061,1.5
1402609490,16,10.33957921,0.1328828876,1.5
1402609491,6,9.550564811,0.008787528391,1.5
1402609492,11,9.814098482,-0.01145764125,1.5
1402609493,10,9.847898758,-0.009362062859,1.5
1402609494,15,10.78464444,0.1247990006,1.5
1402609495,11,10.82379999,0.1416134097,1.5
1402609496,7,10.12856363,0.07823372148,1.5
1402609497,9,9.923370245,0.06450087275,1.5
1402609498,14,10.66457565,0.1742918556,1.5
1402609499,8,10.18010735,-0.01542343807,1.5
1402609500,11,10.32917874,0.08152543314,1.5
1402609501,7,9.723873518,-0.009193403152,1.5
1402609502,7,9.228623787,-0.06288397004,1.5
1402609503,8,9.005237644,-0.1649944793,1.5
1402609504,8,8.822467163,-0.1849011283,1.5
1402609505,8,8.672927679,-0.1437159311,1.5
